sample.id,group,rep,tot_reads,trimmed_reads,mapped_reads
B1,BULK,1,10087402,10087402,9043093
B2,BULK,2,7696255,7696255,6918301
B3,BULK,3,7422221,7422221,6679994
B4,BULK,4,8884911,8884911,8003367
B5,BULK,5,8728900,8728900,7879532
B6,BULK,6,7076699,7076699,6370755
H1,HIGH,1,8273144,8273144,7450983
H2,HIGH,2,8149375,8149375,7336746
H3,HIGH,3,6992206,6992206,6286257
H4,HIGH,4,8546936,8546936,7723498
H5,HIGH,5,8555016,8555016,7696436
H6,HIGH,6,8601289,8601289,7773202
L1,LOW,1,7136791,7136791,6421337
L2,LOW,2,7281533,7281533,6601250
L3,LOW,3,8662836,8662836,7766255
L4,LOW,4,9023175,9023175,8145153
L5,LOW,5,7864308,7864308,7103701
L6,LOW,6,8225071,8225071,7434951
